year,country,amount,value
2019,ギリシャ,212,2427
2019,カナダ,23914,237574
2019,アメリカ合衆国,302545,2632284
2019,メキシコ,9743,139389
2019,オーストラリア,12389,120276
2019,ニュージーランド,5046,40353
2019,台湾,253479,1244944
2019,香港,225675,1036126
2019,ベトナム,6048,33741
2019,タイ,19754,98156
2019,シンガポール,57406,242710
2019,マレーシア,21938,118541
2019,フィリピン,1813,10219
2019,インドネシア,2457,11986
2019,マカオ,1508,7951
2019,カタール,99,963
2019,アラブ首長国連邦,195,2060
2019,デンマーク,364,2390
2019,英国,3264,19633
2019,オランダ,7089,47789
2019,ベルギー,2784,14094
2019,フランス,926,5955
2019,ドイツ,723,3827
2019,スイス,40,228
2019,イタリア,3939,28464
2019,ロシア,716,4075
2019,ギリシャ,147,1672
2019,カナダ,1319,9890
2019,アメリカ合衆国,20941,105422
2019,メキシコ,3335,20452
2019,オーストラリア,15780,89142
2019,ニュージーランド,297,1889
2019,台湾,120662,549307
2019,香港,84678,334560
2019,ベトナム,51,238
2019,タイ,8286,34427
2019,シンガポール,30930,94097
2019,マレーシア,9570,48418
2019,フィリピン,370,2283
2019,インドネシア,316,1817
2019,マカオ,488,2077
2019,カタール,56,547
2019,デンマーク,166,725
2019,英国,1697,10879
2019,オランダ,3396,20327
2019,ベルギー,1073,5919
2019,フランス,207,786
2019,ドイツ,128,718
2019,スイス,37,237
2019,イタリア,1138,5624
2019,ロシア,291,2021
2019,ギリシャ,78,886
2019,カナダ,505,2169
2019,アメリカ合衆国,6875,32259
2019,メキシコ,301,1342
2019,オーストラリア,5606,29953
2019,台湾,16750,85824
2019,香港,8047,29081
2019,タイ,3671,15741
2019,シンガポール,2455,10544
2019,マレーシア,1418,6706
2019,フィリピン,134,649
2019,マカオ,31,574
2019,デンマーク,166,1691
2019,ベルギー,321,1008
2019,イタリア,694,6532
2019,ギリシャ,24,273
2019,カナダ,4206,23319
2019,アメリカ合衆国,3102,19367
2019,オーストラリア,139,884
2019,台湾,44834,333688
2019,モンゴル,283,2511
2019,香港,137480,984657
2019,ベトナム,28552,263552
2019,タイ,108332,856164
2019,シンガポール,24618,163637
2019,マレーシア,1758,13085
2019,フィリピン,18777,155901
2019,インドネシア,3757,20241
2019,カンボジア,895813,7071662
2019,ラオス,14380,97788
2019,ミャンマー,1551,9035
2019,スリランカ,25,250
2019,マカオ,46649,438964
2019,バーレーン,197,7043
2019,カタール,1555,20886
2019,オマーン,19,400
2019,アラブ首長国連邦,14030,190972
2019,アゼルバイジャン,118,595
2019,タジキスタン,40558,288429
2019,ドイツ,320,3884
2019,イタリア,41,430
2019,ロシア,723,7846
2019,カナダ,47,385
2019,アメリカ合衆国,14366,143598
2019,ブラジル,2851,23521
2019,ウルグアイ,24,278
2019,オーストラリア,45,481
2019,ニュージーランド,360,3424
2019,グアム（米）,978,9613
2019,北マリアナ諸島（米）,288,2589
2019,台湾,27329,131746
2019,モンゴル,73,447
2019,香港,149494,690795
2019,ベトナム,8367,37250
2019,タイ,54445,250488
2019,シンガポール,28246,123293
2019,マレーシア,4088,20082
2019,フィリピン,657,5286
2019,インドネシア,4464,16754
2019,カンボジア,135140,683353
2019,ラオス,72,385
2019,ミャンマー,759,3640
2019,マカオ,1202,6406
2019,バーレーン,45,1161
2019,カタール,207,1779
